New York,72158
New Jersey,29325
Greater Chicago,25022
Dallas,22823
Boston,21711
SF Bay Area,20357
"Philadelphia, PA",18082
Washington DC,17093
Atlanta,13660
Minneapolis,12781
Charlotte,12552
Phoenix,10853
"Columbus, Ohio",8929
Detroit,8290
"Denver, CO",8056
Tampa Florida,7770
"Houston, TX",7627
Cleveland,7229
"St Louis, MO",6752
Hartford,6272
"Seattle, WA",6245
"Pittsburgh, PA ",6244
"Raleigh, NC",6219
Fort Laudredale,5842
Miami,5842
"Des Moines, IA",5708
Cinncinati,5616
"Richmond, VA",5475
San Antonio,5389
"Baltimore, MD",5135
Jacksonville,5123
Kansas,4982
Milwaukee,4684
Indianapolis,4616
Omaha,4585
Austin,4512
Salt Lake City,4188
Portland,4161
"San Diego, CA",3921
Greater Nashville,3491
"Sacramento, CA",3415
Orlando,3311
"Louisville, KY",3111
Oklahoma City,3024
"Greensboro, NC",2937
"Madison, WI",2880
"Providence, RI Area",2797
San Jose,1851
Columbia,1840
Las Vegas,1746
Rochester,1599
Grandrapids,1499
"Irvine, CA",1425
Greenville,1328
Memphis,1298
"Knoxville, TN",1062
"Boise, ID",940
"Provo, UT",882
Virginia,848
Albuquerque,754
Tucson,690
Oakland,573
Newark,505
El Paso,437
"Ann Arbor, MI",365
"Huntsville, AL",307
"Murfreesboro, TN",258
